Year,G,AG,ARI,ATH,IAB,ATL,AC,BBS,BEG,BAL,BLA,BBB,BOS,BRG,CAG,CHC,COG,CHW,CIN,CT,CBN,CBE,CCU,CEL,CLE,CHT,CRS,CLS,CTS,CTG,COL,CBB,COB,COT,CSE,CSW,DM,DS,DTS,DET,DW,HBG,HIL,HG,HOU,ABC,ID,IA,IC,JRC,KCM,KCR,LRG,LAA,LAD,LVB,MRS,MIA,MB,MIL,MIN,MRM,MGS,NBY,NYC,NLG,NYM,NYY,NWB,ND,NE,NS,PBG,PHI,PS,PTG,TC,PK,PIT,CUP,SDP,SFG,SEA,STL,SLS,SL2,HAR,TBR,TEX,TT,TOR,SEN,WSN,WAP,WMP
2026,94,,45,41,,52,,,,42,,,41,,,51,,47,41,,,,,,47,,,,,,38,,,,,,,,,41,,,,,46,,,,,,,38,,36,60,,,50,,58,45,,,,,,38,50,,,,,,51,,,,,47,,45,38,47,47,,,,53,46,,43,,47,,
2025,162,,80,76,,76,,,,75,,,89,,,92,,60,83,,,,,,88,,,,,,43,,,,,,,,,87,,,,,87,,,,,,,82,,72,93,,,79,,97,70,,,,,,83,94,,,,,,96,,,,,71,,90,81,90,78,,,,77,81,,94,,66,,
2024,162,,89,69,,89,,,,91,,,81,,,83,,41,77,,,,,,92,,,,,,61,,,,,,,,,86,,,,,88,,,,,,,86,,63,98,,,62,,93,82,,,,,,89,94,,,,,,95,,,,,76,,93,80,85,83,,,,80,78,,74,,71,,
2023,162,,84,50,,104,,,,101,,,78,,,83,,61,82,,,,,,76,,,,,,59,,,,,,,,,78,,,,,90,,,,,,,56,,73,100,,,84,,92,87,,,,,,75,82,,,,,,90,,,,,76,,82,79,88,71,,,,99,90,,89,,71,,
2022,162,,74,60,,101,,,,83,,,78,,,74,,81,62,,,,,,92,,,,,,68,,,,,,,,,66,,,,,106,,,,,,,65,,73,111,,,69,,86,78,,,,,,101,99,,,,,,87,,,,,62,,89,81,90,93,,,,86,68,,92,,55,,
2021,162,,52,86,,88,,,,52,,,92,,,71,,93,83,,,,,,80,,,,,,74,,,,,,,,,77,,,,,95,,,,,,,74,,77,106,,,67,,95,73,,,,,,77,92,,,,,,82,,,,,61,,79,107,90,90,,,,100,60,,91,,65,,
2020,60,,25,36,,35,,,,25,,,24,,,34,,35,31,,,,,,35,,,,,,26,,,,,,,,,23,,,,,29,,,,,,,26,,26,43,,,31,,29,36,,,,,,26,33,,,,,,28,,,,,19,,37,29,27,30,,,,40,22,,32,,26,,
2019,162,,85,97,,97,,,,54,,,84,,,84,,72,75,,,,,,93,,,,,,71,,,,,,,,,47,,,,,107,,,,,,,59,,72,106,,,57,,89,101,,,,,,86,103,,,,,,81,,,,,69,,70,77,68,91,,,,96,78,,67,,93,,
2018,163,,82,97,,90,,,,47,,,108,,,95,,62,67,,,,,,91,,,,,,91,,,,,,,,,64,,,,,103,,,,,,,58,,80,92,,,63,,96,78,,,,,,77,100,,,,,,80,,,,,82,,66,73,89,88,,,,90,67,,73,,82,,
2017,162,,93,75,,72,,,,75,,,93,,,92,,67,68,,,,,,102,,,,,,87,,,,,,,,,64,,,,,101,,,,,,,80,,80,104,,,77,,86,85,,,,,,70,91,,,,,,66,,,,,75,,71,64,78,83,,,,80,78,,76,,97,,
2016,162,,69,69,,68,,,,89,,,93,,,103,,78,68,,,,,,94,,,,,,75,,,,,,,,,86,,,,,84,,,,,,,81,,74,91,,,79,,73,59,,,,,,87,84,,,,,,71,,,,,78,,68,87,86,86,,,,68,95,,89,,95,,
2015,162,,79,68,,67,,,,81,,,78,,,97,,76,64,,,,,,81,,,,,,68,,,,,,,,,74,,,,,86,,,,,,,95,,85,92,,,71,,68,83,,,,,,90,87,,,,,,63,,,,,98,,74,84,76,100,,,,80,88,,93,,83,,
2014,162,,64,88,,79,,,,96,,,71,,,73,,73,76,,,,,,85,,,,,,66,,,,,,,,,90,,,,,70,,,,,,,89,,98,94,,,77,,82,70,,,,,,79,84,,,,,,73,,,,,88,,77,88,87,90,,,,77,67,,83,,96,,
2013,163,,81,96,,96,,,,85,,,97,,,66,,63,90,,,,,,92,,,,,,74,,,,,,,,,93,,,,,51,,,,,,,86,,78,92,,,62,,74,66,,,,,,74,85,,,,,,73,,,,,94,,76,76,71,97,,,,92,91,,74,,86,,
2012,162,,81,94,,94,,,,93,,,69,,,61,,85,97,,,,,,68,,,,,,64,,,,,,,,,88,,,,,55,,,,,,,72,,89,86,,,69,,83,66,,,,,,74,95,,,,,,81,,,,,79,,76,94,75,88,,,,90,93,,73,,98,,
2011,162,,94,74,,89,,,,69,,,90,,,71,,79,79,,,,,,80,,,,,,73,,,,,,,,,95,,,,,56,,,,,,,71,,86,82,,,72,,96,63,,,,,,77,97,,,,,,102,,,,,72,,71,86,67,90,,,,91,96,,81,,80,,
2010,162,,65,81,,91,,,,66,,,89,,,75,,88,91,,,,,,69,,,,,,83,,,,,,,,,81,,,,,76,,,,,,,67,,80,80,,,80,,77,94,,,,,,79,95,,,,,,97,,,,,57,,90,92,61,86,,,,96,90,,85,,69,,
2009,163,,70,75,,86,,,,64,,,95,,,83,,79,78,,,,,,65,,,,,,92,,,,,,,,,86,,,,,74,,,,,,,65,,97,95,,,87,,80,87,,,,,,70,103,,,,,,93,,,,,62,,75,88,85,91,,,,84,87,,75,,59,,
2008,163,,82,75,,72,,,,68,,,95,,,97,,89,74,,,,,,81,,,,,,74,,,,,,,,,74,,,,,86,,,,,,,75,,100,84,,,84,,90,88,,,,,,89,89,,,,,,92,,,,,67,,63,72,61,86,,,,97,79,,86,,59,,
2007,163,,90,76,,84,,,,69,,,96,,,85,,72,72,,,,,,96,,,,,,90,,,,,,,,,88,,,,,73,,,,,,,69,,94,82,,,71,,83,79,,,,,,88,94,,,,,,89,,,,,68,,89,71,88,78,,,,66,75,,83,,73,,
2006,162,,76,93,,79,,,,70,,,86,,,66,,90,80,,,,,,78,,,,,,76,,,,,,,,,95,,,,,82,,,,,,,62,,89,88,,,78,,75,96,,,,,,97,97,,,,,,85,,,,,67,,88,76,78,83,,,,61,80,,87,,71,,
2005,162,,77,88,,90,,,,74,,,95,,,79,,99,73,,,,,,93,,,,,,67,,,,,,,,,71,,,,,89,,,,,,,56,,95,71,,,83,,81,83,,,,,,83,95,,,,,,88,,,,,67,,82,75,69,100,,,,67,79,,80,,81,,
2004,162,,51,91,,96,,,,78,,,98,,,89,,83,76,,,,,,80,,,,,,68,,,,,,,,,72,,,,,92,,,,,,,58,,92,93,,,83,,67,92,,,,,,71,101,,,,,,86,,,,,72,,87,91,63,105,,,,70,89,,67,,67,,
2003,162,,84,96,,101,,,,71,,,95,,,88,,86,69,,,,,,68,,,,,,74,,,,,,,,,43,,,,,87,,,,,,,83,,77,85,,,91,,68,90,,,,,,66,101,,,,,,86,,,,,75,,64,100,93,85,,,,63,71,,86,,83,,
