City,MLB Team(s),Region,Approx. Annual Average Temp (°F)
"Minneapolis, MN",Minnesota Twins,The Coldest Outposts,46
"Milwaukee, WI",Milwaukee Brewers,The Coldest Outposts,48
"Toronto, ON (Canada)",Toronto Blue Jays,The Coldest Outposts,49
"Boston, MA",Boston Red Sox,The Coldest Outposts,50
"Chicago, IL","Chicago Cubs, Chicago White Sox",The Coldest Outposts,50
"Detroit, MI",Detroit Tigers,The Coldest Outposts,50
"Denver, CO",Colorado Rockies,The Moderate / Four-Season Markets,51
"Cleveland, OH",Cleveland Guardians,The Moderate / Four-Season Markets,51
"Pittsburgh, PA",Pittsburgh Pirates,The Moderate / Four-Season Markets,52
"Seattle, WA",Seattle Mariners,The Moderate / Four-Season Markets,53
"Kansas City, MO",Kansas City Royals,The Moderate / Four-Season Markets,54
"Philadelphia, PA",Philadelphia Phillies,The Moderate / Four-Season Markets,55
"New York, NY","New York Yankees, New York Mets",The Moderate / Four-Season Markets,55
"Cincinnati, OH",Cincinnati Reds,The Moderate / Four-Season Markets,55
"Baltimore, MD",Baltimore Orioles,The Moderate / Four-Season Markets,56
"St. Louis, MO",St. Louis Cardinals,The Moderate / Four-Season Markets,57
"Washington, D.C.",Washington Nationals,The Mild & Transition Zones,58
"San Francisco, CA",San Francisco Giants,The Mild & Transition Zones,59
"Sacramento, CA",Athletics,The Mild & Transition Zones,61
"San Diego, CA",San Diego Padres,The Mild & Transition Zones,64
"Anaheim / Los Angeles, CA","Los Angeles Dodgers, Los Angeles Angels",The Sun Belt & Desert Markets,66
"Arlington / Dallas, TX",Texas Rangers,The Sun Belt & Desert Markets,67
"Atlanta, GA",Atlanta Braves,The Mild & Transition Zones,63
"Houston, TX",Houston Astros,The Sun Belt & Desert Markets,70
"St. Petersburg / Tampa, FL",Tampa Bay Rays,The Sun Belt & Desert Markets,74
"Phoenix, AZ",Arizona Diamondbacks,The Sun Belt & Desert Markets,75
"Miami, FL",Miami Marlins,The Sun Belt & Desert Markets,77
